text,label
"Achieve your dream mental health without dieting, thanks to financial course",Manipulative
Helps maintain hair cleanliness and hygiene with smartphone,Non-Manipulative
Never worry about acne again with this multigrain cereal,Manipulative
Helps maintain face cleanliness and hygiene with pill,Non-Manipulative
Double your savings using this financial course,Manipulative
No artificial colors or harsh chemicals used in investment app,Non-Manipulative
app tested for quality and safety standards,Non-Manipulative
The most effective way to confidence without stress using serum,Manipulative
headphones designed to support your daily cleansing,Non-Manipulative
thermos provides lightweight skin hydration,Non-Manipulative
Provides a pleasant texture and easy absorption with coffee maker,Non-Manipulative
Look 15 years younger instantly with this pill,Manipulative
Helps maintain body cleanliness and hygiene with sunscreen,Non-Manipulative
Limited time offer: get 20% off on shampoo instantly,Manipulative
"Store thermos in a cool, dry place away from sunlight",Non-Manipulative
investment app designed to support your daily focus,Non-Manipulative
Look 8 years younger instantly with this sunscreen,Manipulative
Never worry about money stress again with this lotion,Manipulative
serum is cruelty-free and ethically sourced,Non-Manipulative
"Suitable for all teeth types, this lotion is reliable",Non-Manipulative
smartphone provides hydration and care to your skin,Non-Manipulative
This conditioner will give you the whitest hair,Manipulative
device is free from parabens and sulfates,Non-Manipulative
protein bar formulated with natural ingredients for mental health,Non-Manipulative
Doctors hate this simple financial course for mental health,Manipulative
Hurry! Only 25 left in stock for this protein bar,Manipulative
air purifier contains essential nutrients for productivity,Non-Manipulative
Limited time offer: get 20% off on water bottle instantly,Manipulative
vacuum cleaner provides lightweight hair hydration,Non-Manipulative
The most effective way to hydration without stress using plan,Manipulative
app designed to support your daily learning,Non-Manipulative
Hurry! Only 7 left in stock for this smartphone,Manipulative
"Safe for use on sensitive hair, this toothpaste is gentle",Non-Manipulative
The most effective way to fat burn without stress using device,Manipulative
"Suitable for all body types, this shampoo is reliable",Non-Manipulative
multigrain cereal is cruelty-free and ethically sourced,Non-Manipulative
Ideal for everyday use to support your wellness with plan,Non-Manipulative
See visible changes in 13 days or less with supplement,Manipulative
The best air purifier you will ever need,Manipulative
This headphones helps improve your teeth health over time,Non-Manipulative
Get flawless face overnight using our financial course,Manipulative
Guaranteed results in just 24 days with thermos,Manipulative
Secret trick to weight loss instantly with yoga mat,Manipulative
